log_date,value,target
2025-06-01,5,5
2025-06-02,6,6
2025-06-03,8,7
2025-06-04,10,9
2025-06-05,12,11
2025-06-06,12,12
2025-06-07,15,13
2025-06-08,16,15
2025-06-09,18,17
2025-06-10,20,19
2025-06-11,20,20
2025-06-12,22,20
2025-06-13,21,21
2025-06-14,23,21
2025-06-15,15,22
2025-06-16,10,20
2025-06-17,8,18
2025-06-18,5,15
2025-06-19,5,10
2025-06-20,8,8
2025-06-21,10,9
2025-06-22,12,11
2025-06-23,15,13
2025-06-24,15,15
2025-06-25,16,15
2025-06-26,16,16
2025-06-27,17,16
2025-06-28,17,17
2025-06-29,18,17
2025-06-30,18,18
2025-07-01,18,18
2025-07-02,19,18
2025-07-03,19,19
2025-07-04,20,19
2025-07-05,20,20
2025-07-06,20,20
2025-07-07,20,20
2025-07-08,21,20
2025-07-09,21,21
2025-07-10,21,21
2025-07-11,22,21
2025-07-12,22,22
2025-07-13,22,22
2025-07-14,23,22
2025-07-15,23,23
2025-07-16,23,23
2025-07-17,24,23
2025-07-18,24,24
2025-07-19,24,24
2025-07-20,25,24
2025-07-21,25,25
2025-07-22,25,25
2025-07-23,25,25
2025-07-24,26,25
2025-07-25,26,26
2025-07-26,26,26
2025-07-27,27,26
2025-07-28,27,27
2025-07-29,27,27
2025-07-30,28,27
2025-07-31,45,28
2025-08-01,50,30
2025-08-02,48,35
2025-08-03,55,40
2025-08-04,0,45
2025-08-05,0,40
2025-08-06,0,35
2025-08-07,5,30
2025-08-08,10,25
2025-08-09,12,20
2025-08-10,15,18
2025-08-11,18,18
2025-08-12,20,19
2025-08-13,22,21
2025-08-14,24,23
2025-08-15,25,25
2025-08-16,25,25
2025-08-17,25,25
2025-08-18,26,25
2025-08-19,26,26
2025-08-20,26,26
2025-08-21,27,26
2025-08-22,27,27
2025-08-23,27,27
2025-08-24,28,27
2025-08-25,28,28
2025-08-26,28,28
2025-08-27,29,28
2025-08-28,29,29
2025-08-29,30,29
2025-08-30,30,30
